,cdf,Time per Output Token
0,0.0,0.020962884948370824
1,0.01,0.020962884948370824
2,0.02,0.020962884948370824
3,0.03,0.020962884948370824
4,0.04,0.021644545901765355
5,0.05,0.021644545901765355
6,0.06,0.021644545901765355
7,0.07,0.022348372776335664
8,0.08,0.022348372776335664
9,0.09,0.022348372776335664
10,0.1,0.023028982284148392
11,0.11,0.023028982284148392
12,0.12,0.023028982284148392
13,0.13,0.023588363773234883
14,0.14,0.023588363773234883
15,0.15,0.023588363773234883
16,0.16,0.023588363773234883
17,0.17,0.024258171733367175
18,0.18,0.024258171733367175
19,0.19,0.024258171733367175
20,0.2,0.02484741063499535
21,0.21,0.02484741063499535
22,0.22,0.02484741063499535
23,0.23,0.025400111268076248
24,0.24,0.025400111268076248
25,0.25,0.025400111268076248
26,0.26,0.02601708825337182
27,0.27,0.02601708825337182
28,0.28,0.02601708825337182
29,0.29,0.02601708825337182
30,0.3,0.026595806952064222
31,0.31,0.026595806952064222
32,0.32,0.026595806952064222
33,0.33,0.02718739854909769
34,0.34,0.02718739854909769
35,0.35000000000000003,0.02718739854909769
36,0.36,0.027681202793132183
37,0.37,0.027681202793132183
38,0.38,0.027681202793132183
39,0.39,0.028240400371375287
40,0.4,0.028240400371375287
41,0.41000000000000003,0.028240400371375287
42,0.42,0.028753330269078968
43,0.43,0.028753330269078968
44,0.44,0.028753330269078968
45,0.45,0.028753330269078968
46,0.46,0.02927557650353776
47,0.47000000000000003,0.02927557650353776
48,0.48,0.02927557650353776
49,0.49,0.02980730828721308
50,0.5,0.02980730828721308
51,0.51,0.02980730828721308
52,0.52,0.0302275455402293
53,0.53,0.0302275455402293
54,0.54,0.0302275455402293
55,0.55,0.030715076276659904
56,0.56,0.030715076276659904
57,0.5700000000000001,0.030715076276659904
58,0.58,0.030715076276659904
59,0.59,0.031210470245606282
60,0.6,0.031210470245606282
61,0.61,0.031210470245606282
62,0.62,0.031650489926517374
63,0.63,0.031650489926517374
64,0.64,0.031650489926517374
65,0.65,0.032096713208914295
66,0.66,0.032096713208914295
67,0.67,0.032096713208914295
68,0.68,0.032549227554047225
69,0.6900000000000001,0.032549227554047225
70,0.7000000000000001,0.032549227554047225
71,0.71,0.03294217136321616
72,0.72,0.03294217136321616
73,0.73,0.03294217136321616
74,0.74,0.03294217136321616
75,0.75,0.033339858905148255
76,0.76,0.033339858905148255
77,0.77,0.033339858905148255
78,0.78,0.03374234744757494
79,0.79,0.03374234744757494
80,0.8,0.03374234744757494
81,0.81,0.03414969494958049
82,0.8200000000000001,0.03414969494958049
83,0.8300000000000001,0.03414969494958049
84,0.84,0.03449290520467356
85,0.85,0.03449290520467356
86,0.86,0.03449290520467356
87,0.87,0.03449290520467356
88,0.88,0.03490931365977195
89,0.89,0.03490931365977195
90,0.9,0.03490931365977195
91,0.91,0.03526015821238024
92,0.92,0.03526015821238024
93,0.93,0.03526015821238024
94,0.9400000000000001,0.03554337091281865
95,0.9500000000000001,0.03554337091281865
96,0.96,0.03554337091281865
97,0.97,0.03590058784889573
98,0.98,0.03590058784889573
99,0.99,0.03590058784889573
100,1.0,0.03618894453665566
