,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,0.844508433557472
1,0.01,0.8807331949458154
2,0.02,0.8807331949458154
3,0.03,0.8807331949458154
4,0.04,0.8807331949458154
5,0.05,0.8824964245653265
6,0.06,0.8824964245653265
7,0.07,0.8824964245653265
8,0.08,0.8824964245653265
9,0.09,0.8824964245653265
10,0.1,0.8824964245653265
11,0.11,0.8824964245653265
12,0.12,0.8842631841740659
13,0.13,0.8842631841740659
14,0.14,0.8842631841740659
15,0.15,0.8842631841740659
16,0.16,0.8842631841740659
17,0.17,0.8842631841740659
18,0.18,0.8842631841740659
19,0.19,0.8860334808390791
20,0.2,0.8860334808390791
21,0.21,0.8860334808390791
22,0.22,0.8860334808390791
23,0.23,0.8860334808390791
24,0.24,0.8860334808390791
25,0.25,0.8878073216415597
26,0.26,0.8878073216415597
27,0.27,0.8878073216415597
28,0.28,0.8878073216415597
29,0.29,0.8878073216415597
30,0.3,0.8878073216415597
31,0.31,0.8878073216415597
32,0.32,0.8895847136768781
33,0.33,0.8895847136768781
34,0.34,0.8895847136768781
35,0.35000000000000003,0.8895847136768781
36,0.36,0.8895847136768781
37,0.37,0.8895847136768781
38,0.38,0.8895847136768781
39,0.39,0.8913656640546096
40,0.4,0.8913656640546096
41,0.41000000000000003,0.8913656640546096
42,0.42,0.8913656640546096
43,0.43,0.8913656640546096
44,0.44,0.8913656640546096
45,0.45,0.8913656640546096
46,0.46,0.8913656640546096
47,0.47000000000000003,0.8931501798985628
48,0.48,0.8931501798985628
49,0.49,0.8931501798985628
50,0.5,0.8931501798985628
51,0.51,0.8931501798985628
52,0.52,0.8931501798985628
53,0.53,0.8949382683468082
54,0.54,0.8949382683468082
55,0.55,0.8949382683468082
56,0.56,0.8949382683468082
57,0.5700000000000001,0.8949382683468082
58,0.58,0.8949382683468082
59,0.59,0.8949382683468082
60,0.6,0.8949382683468082
61,0.61,0.8967299365517066
62,0.62,0.8967299365517066
63,0.63,0.8967299365517066
64,0.64,0.8967299365517066
65,0.65,0.8967299365517066
66,0.66,0.8967299365517066
67,0.67,0.8985251916799384
68,0.68,0.8985251916799384
69,0.6900000000000001,0.8985251916799384
70,0.7000000000000001,0.8985251916799384
71,0.71,0.8985251916799384
72,0.72,0.8985251916799384
73,0.73,0.8985251916799384
74,0.74,0.9003240409125307
75,0.75,0.9003240409125307
76,0.76,0.9003240409125307
77,0.77,0.9003240409125307
78,0.78,0.9003240409125307
79,0.79,0.9003240409125307
80,0.8,0.9003240409125307
81,0.81,0.9021264914448882
82,0.8200000000000001,0.9021264914448882
83,0.8300000000000001,0.9021264914448882
84,0.84,0.9021264914448882
85,0.85,0.9021264914448882
86,0.86,0.9021264914448882
87,0.87,0.9039325504868199
88,0.88,0.9039325504868199
89,0.89,0.9039325504868199
90,0.9,0.9039325504868199
91,0.91,0.9039325504868199
92,0.92,0.9057422252625693
93,0.93,0.9057422252625693
94,0.9400000000000001,0.9057422252625693
95,0.9500000000000001,0.9075555230108427
96,0.96,0.9130172266954232
97,0.97,0.9166766107108517
98,0.98,0.9203506615813853
99,0.99,0.9240394380919555
100,1.0,0.9333261919482296
