SECONDS,prefix_cache_block_evictions_gpu
1746688296.9304276,0.0
1746688296.9683473,0.0
1746688297.0062404,0.0
1746688297.04434,0.0
1746688297.0828357,0.0
1746688297.1216686,0.0
1746688297.160886,0.0
1746688297.2003975,0.0
1746688297.2402928,0.0
1746688297.280541,0.0
1746688297.3210258,0.0
1746688297.3617287,0.0
1746688297.4026995,0.0
1746688297.4440536,0.0
1746688297.4625924,0.0
1746688297.4779723,0.0
1746688297.493136,0.0
1746688297.5082881,0.0
1746688297.5234747,0.0
1746688297.538853,0.0
1746688297.5540707,0.0
1746688297.5692668,0.0
1746688297.5844986,0.0
1746688297.599691,0.0
1746688297.614964,0.0
1746688297.6301236,0.0
1746688297.645312,0.0
1746688297.660481,0.0
1746688297.6756966,0.0
1746688297.6909206,0.0
1746688297.7061183,0.0
1746688297.7213686,0.0
1746688297.7366183,0.0
1746688297.7518597,0.0
1746688297.7671747,0.0
1746688297.782526,0.0
1746688297.7978618,0.0
1746688297.8131196,0.0
1746688297.8283753,0.0
1746688297.8436966,0.0
1746688297.8590784,0.0
1746688297.8743649,0.0
1746688297.8896737,0.0
1746688297.9049723,0.0
1746688297.9202445,0.0
1746688297.9355648,0.0
1746688297.9509459,0.0
1746688297.9662344,0.0
1746688297.981645,0.0
1746688297.9969206,0.0
1746688298.0122366,0.0
1746688298.0277016,0.0
1746688298.0429947,0.0
1746688298.0582802,0.0
1746688298.073577,0.0
1746688298.0888143,0.0
1746688298.104072,0.0
1746688298.119365,0.0
1746688298.1347594,0.0
1746688298.15006,0.0
1746688298.165343,0.0
1746688298.1807408,0.0
1746688298.1960998,0.0
1746688298.211512,0.0
1746688298.22687,0.0
1746688298.242134,0.0
1746688298.2574663,0.0
1746688298.2730186,0.0
1746688298.2884374,0.0
1746688298.3038316,0.0
1746688298.3195004,0.0
1746688298.335011,0.0
1746688298.3501937,0.0
1746688298.3655713,0.0
1746688298.3809712,0.0
1746688298.3962655,0.0
1746688298.4116185,0.0
1746688298.4270391,0.0
1746688298.4422953,0.0
1746688298.4576256,0.0
1746688298.4729533,0.0
1746688298.51784,0.0
1746688298.5343926,0.0
1746688298.5500178,0.0
1746688298.5655572,0.0
1746688298.5811362,0.0
1746688298.5966725,0.0
1746688298.6123776,0.0
1746688298.6279142,0.0
1746688298.6434314,0.0
1746688298.658852,0.0
1746688298.6742635,0.0
1746688298.6897638,0.0
1746688298.7052157,0.0
1746688298.7207408,0.0
1746688298.736318,0.0
1746688298.751793,0.0
1746688298.7672846,0.0
1746688298.78286,0.0
1746688298.7985349,0.0
1746688298.814093,0.0
1746688298.8296502,0.0
1746688298.8451762,0.0
1746688298.8609297,0.0
1746688298.8764434,0.0
1746688298.8918705,0.0
1746688298.9072025,0.0
1746688298.9225805,0.0
1746688298.9381413,0.0
1746688298.9536586,0.0
1746688298.969159,0.0
1746688298.984723,0.0
1746688299.000303,0.0
1746688299.0158818,0.0
1746688299.0314374,0.0
1746688299.0471268,0.0
1746688299.062624,0.0
1746688299.078179,0.0
1746688299.0937269,0.0
1746688299.1093302,0.0
1746688299.12482,0.0
1746688299.1403418,0.0
1746688299.1557968,0.0
1746688299.1712794,0.0
1746688299.1869035,0.0
1746688299.20246,0.0
1746688299.217955,0.0
1746688299.2335284,0.0
1746688299.2490652,0.0
1746688299.2644596,0.0
1746688299.2800012,0.0
1746688299.2957244,0.0
1746688299.3113177,0.0
1746688299.3269455,0.0
1746688299.3425813,0.0
1746688299.358299,0.0
1746688299.373751,0.0
1746688299.389303,0.0
1746688299.4047978,0.0
1746688299.420253,0.0
1746688299.4357607,0.0
1746688299.451276,0.0
1746688299.4667735,0.0
1746688299.4822726,0.0
1746688299.4977877,0.0
1746688299.5133207,0.0
1746688299.5288537,0.0
1746688299.5445154,0.0
1746688299.5601199,0.0
1746688299.5756135,0.0
1746688299.5910778,0.0
1746688299.606744,0.0
1746688299.6222093,0.0
1746688299.6377969,0.0
1746688299.653283,0.0
1746688299.6687427,0.0
1746688299.6844215,0.0
1746688299.7001405,0.0
1746688299.7157116,0.0
1746688299.7313514,0.0
1746688299.7469163,0.0
1746688299.7626102,0.0
1746688299.7782884,0.0
1746688299.7939236,0.0
1746688299.8092217,0.0
1746688299.8245852,0.0
1746688299.840274,0.0
1746688299.8561673,0.0
1746688299.8718457,0.0
1746688299.8875701,0.0
1746688299.903272,0.0
1746688299.9188883,0.0
1746688299.9344957,0.0
1746688299.950136,0.0
1746688299.96576,0.0
1746688299.9814572,0.0
1746688299.9970946,0.0
1746688300.0127249,0.0
1746688300.028327,0.0
1746688300.044055,0.0
1746688300.0595663,0.0
1746688300.0750818,0.0
1746688300.0906692,0.0
1746688300.1064303,0.0
1746688300.1222086,0.0
1746688300.1380143,0.0
1746688300.1537342,0.0
1746688300.169354,0.0
1746688300.1851194,0.0
1746688300.2008555,0.0
1746688300.2166622,0.0
1746688300.2323844,0.0
1746688300.2480507,0.0
1746688300.2637777,0.0
1746688300.2794535,0.0
1746688300.2953668,0.0
1746688300.3110876,0.0
1746688300.3267846,0.0
1746688300.3424668,0.0
1746688300.3583415,0.0
1746688300.374149,0.0
1746688300.3898408,0.0
1746688300.4055073,0.0
1746688300.421147,0.0
1746688300.4368467,0.0
1746688300.452567,0.0
1746688300.4682548,0.0
1746688300.4840112,0.0
1746688300.4995272,0.0
1746688300.515288,0.0
1746688300.5311189,0.0
1746688300.5469573,0.0
1746688300.5625844,0.0
1746688300.5782523,0.0
1746688300.5938847,0.0
1746688300.6095915,0.0
1746688300.6253123,0.0
1746688300.640975,0.0
1746688300.6565948,0.0
1746688300.67219,0.0
1746688300.6878252,0.0
1746688300.7034407,0.0
1746688300.7190325,0.0
1746688300.7346647,0.0
1746688300.7502964,0.0
1746688300.7659228,0.0
1746688300.7815092,0.0
1746688300.7971764,0.0
1746688300.8125284,0.0
1746688300.8278773,0.0
1746688300.8432472,0.0
1746688300.858715,0.0
1746688300.8742206,0.0
1746688300.8898716,0.0
1746688300.9054477,0.0
1746688300.9209015,0.0
1746688300.936426,0.0
1746688300.9520237,0.0
1746688300.967572,0.0
1746688300.9832134,0.0
1746688300.998797,0.0
1746688301.0144897,0.0
1746688301.0302594,0.0
1746688301.0460865,0.0
1746688301.0616643,0.0
1746688301.0773654,0.0
1746688301.093016,0.0
1746688301.108829,0.0
1746688301.1245036,0.0
1746688301.1401205,0.0
1746688301.1558082,0.0
1746688301.1715086,0.0
1746688301.1872575,0.0
1746688301.2029414,0.0
1746688301.218681,0.0
1746688301.2344542,0.0
1746688301.2502344,0.0
1746688301.2658641,0.0
1746688301.2816517,0.0
1746688301.2974951,0.0
1746688301.3133278,0.0
1746688301.3290627,0.0
1746688301.3447733,0.0
1746688301.3606458,0.0
1746688301.3763912,0.0
1746688301.3921106,0.0
1746688301.4078329,0.0
1746688301.4235535,0.0
1746688301.4393172,0.0
1746688301.4549797,0.0
1746688301.470548,0.0
1746688301.515941,0.0
1746688301.5556574,0.0
1746688301.5725174,0.0
1746688301.5882971,0.0
1746688301.604105,0.0
1746688301.619846,0.0
1746688301.6355333,0.0
1746688301.6513402,0.0
1746688301.6672385,0.0
1746688301.6830373,0.0
1746688301.6987622,0.0
1746688301.7146118,0.0
1746688301.7304459,0.0
1746688301.7461872,0.0
1746688301.7620094,0.0
1746688301.777734,0.0
1746688301.7934892,0.0
1746688301.809209,0.0
1746688301.8250384,0.0
1746688301.840802,0.0
1746688301.8566263,0.0
1746688301.872441,0.0
1746688301.8883002,0.0
1746688301.9043586,0.0
1746688301.9209218,0.0
1746688301.9366994,0.0
1746688301.952398,0.0
1746688301.968333,0.0
1746688301.9838476,0.0
1746688301.999383,0.0
1746688302.0149703,0.0
