num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
560,401,961,1.3965087281795512
6069,889,6958,6.826771653543307
160,672,832,0.238095238095238
227031,1017,228048,223.23598820059
706,295,1001,2.393220338983051
1838,405,2243,4.538271604938272
5920,370,6290,16.0
1363,480,1843,2.839583333333333
5540,398,5938,13.919597989949748
1683,965,2648,1.744041450777202
1330,337,1667,3.946587537091988
163,124,287,1.314516129032258
105,25,130,4.2
1236,49,1285,25.22448979591837
1595,430,2025,3.7093023255813953
24,516,540,0.0465116279069767
36,658,694,0.0547112462006079
2228,159,2387,14.0125786163522
474,113,587,4.1946902654867255
849987,397,850384,2141.0251889168767
6833,698,7531,9.789398280802292
5907,875,6782,6.750857142857143
912,647,1559,1.4095826893353942
6346,64,6410,99.15625
1474,821,2295,1.7953714981729598
7101,504,7605,14.089285714285714
4134,336,4470,12.303571428571429
42,42,84,1.0
4405,419,4824,10.513126491646778
3091,811,3902,3.81134401972873
1517,32,1549,47.40625
2047,340,2387,6.020588235294118
745,845,1590,0.8816568047337278
456,37,493,12.324324324324325
3759,11,3770,341.72727272727275
603,282,885,2.1382978723404253
3637,643,4280,5.656298600311042
1840,30,1870,61.333333333333336
104,144,248,0.7222222222222222
5539,311,5850,17.810289389067524
4170,386,4556,10.803108808290157
1615,405,2020,3.9876543209876543
111,598,709,0.1856187290969899
1522,526,2048,2.893536121673004
814,131,945,6.213740458015267
3739,301,4040,12.421926910299003
496,903,1399,0.5492801771871539
3001,908,3909,3.305066079295154
5,386,391,0.0129533678756476
4176,465,4641,8.980645161290322
3877,680,4557,5.701470588235294
3758,3,3761,1252.6666666666667
5330,64,5394,83.28125
5111,222,5333,23.02252252252252
1059,373,1432,2.839142091152815
2952,354,3306,8.338983050847459
167,55,222,3.036363636363636
2203,362,2565,6.085635359116022
1430,454,1884,3.149779735682819
3784,232,4016,16.310344827586206
57,245,302,0.2326530612244897
3348,471,3819,7.10828025477707
7019,62,7081,113.20967741935485
339,1014,1353,0.3343195266272189
415128,646,415774,642.6130030959753
2801,504,3305,5.557539682539683
709,851,1560,0.8331374853113983
3099,379,3478,8.176781002638522
4638,179,4817,25.910614525139664
2001,199,2200,10.055276381909549
139,718,857,0.1935933147632312
3160,5,3165,632.0
17,145,162,0.1172413793103448
4876,691,5567,7.05643994211288
3718,190,3908,19.56842105263157
2919,282,3201,10.351063829787234
162,939,1101,0.1725239616613418
21,506,527,0.0415019762845849
1070,349,1419,3.0659025787965617
6500,382,6882,17.015706806282722
557,101,658,5.514851485148514
67,312,379,0.2147435897435897
136,155,291,0.8774193548387097
24,161,185,0.1490683229813664
7116,948,8064,7.506329113924051
1990,547,2537,3.6380255941499087
2683,454,3137,5.909691629955947
1685,402,2087,4.191542288557214
1874,193,2067,9.709844559585491
7102,514,7616,13.817120622568094
4486,405,4891,11.076543209876544
356,345,701,1.0318840579710145
734,264,998,2.7803030303030303
811,38,849,21.34210526315789
4337,777,5114,5.581724581724582
7148,274,7422,26.08759124087592
2192,24,2216,91.33333333333331
33,858,891,0.0384615384615384
847,851,1698,0.9952996474735604
51,158,209,0.3227848101265823
1249,824,2073,1.5157766990291262
4458,577,5035,7.726169844020797
2822,946,3768,2.983086680761099
1261,580,1841,2.174137931034483
3971,413,4384,9.615012106537533
659598,153,659751,4311.098039215686
4344,627,4971,6.92822966507177
290,511,801,0.5675146771037182
1161,308,1469,3.76948051948052
170,500,670,0.34
20,925,945,0.0216216216216216
559,426,985,1.312206572769953
3728,335,4063,11.128358208955223
3052,715,3767,4.268531468531468
1935,596,2531,3.2466442953020134
1200,125,1325,9.6
999,330,1329,3.027272727272728
534,90,624,5.933333333333334
1895,70,1965,27.071428571428573
1469,670,2139,2.192537313432836
881,409,1290,2.154034229828851
3354,459,3813,7.30718954248366
1492,615,2107,2.4260162601626014
2425,151,2576,16.05960264900662
1886,481,2367,3.920997920997921
1595,468,2063,3.408119658119658
7302,117,7419,62.41025641025641
3837,17,3854,225.7058823529412
